Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
34.25,34.5,34.0,34.0,34.13,13200.0,6.0,450540.0,13200.0,100.0,0.5,-0.25
32.9,33.25,32.9,33.25,33.08,2400.0,2.0,79380.0,2400.0,100.0,0.35,0.35
34.45,34.45,34.15,34.25,34.3,4800.0,4.0,164640.0,4800.0,100.0,0.3,-0.2
32.85,32.85,32.8,32.8,32.83,2400.0,2.0,78780.0,2400.0,100.0,0.05,-0.05
31.1,33.9,31.0,31.05,31.52,28800.0,22.0,907800.0,20400.0,70.83,2.9,-0.05
31.75,32.05,31.75,31.9,31.92,3600.0,3.0,114900.0,3600.0,100.0,0.3,0.15
30.55,31.0,30.05,30.3,30.48,4800.0,4.0,146280.0,3600.0,75.0,0.95,-0.25
30.3,31.65,29.25,30.5,29.91,24000.0,20.0,717840.0,13200.0,55.0,2.4,0.2
30.0,30.0,28.7,28.7,29.79,9600.0,8.0,285960.0,9600.0,100.0,1.3,-1.3
28.55,29.0,28.2,28.6,28.53,8400.0,7.0,239640.0,8400.0,100.0,0.8,0.05
29.0,30.25,29.0,29.65,29.47,14400.0,10.0,424380.0,13200.0,91.67,1.25,0.65
29.15,29.6,28.35,29.6,29.27,10800.0,5.0,316080.0,9600.0,88.89,1.25,0.45
28.55,28.55,28.55,28.55,28.55,3600.0,3.0,102780.0,2400.0,66.67,0.0,0.0
